sparsegrid_ver2	49	2	2	not_hierarchized	voigt
0	1	0	1
4	1	7	1	5.765065000000e+02	-3.456778000000e+02
1	4	1	1	3.746589000000e+02	-1.285036000000e+02
1	3	1	1	3.927200000000e+02	-1.390277000000e+02
1	4	1	3	4.220940000000e+02	-1.559266000000e+02
1	2	1	1	4.614229000000e+02	-1.781690000000e+02
1	4	1	5	5.088784000000e+02	-2.044181000000e+02
1	3	1	3	5.621094000000e+02	-2.332578000000e+02
1	4	1	7	6.186441000000e+02	-2.632724000000e+02
1	1	1	1	6.759714000000e+02	-2.931325000000e+02
1	4	1	9	7.318615000000e+02	-3.217079000000e+02
1	3	1	5	7.843176000000e+02	-3.480762000000e+02
1	4	1	11	8.315979000000e+02	-3.714939000000e+02
1	2	1	3	8.722525000000e+02	-3.913740000000e+02
1	4	1	13	9.051037000000e+02	-4.072684000000e+02
1	3	1	7	9.291635000000e+02	-4.188479000000e+02
1	4	1	15	9.438642000000e+02	-4.258845000000e+02
4	1	9	1	7.604159000000e+02	-2.358813000000e+02
3	2	5	1	5.870521000000e+02	-1.039548000000e+02
3	1	5	1	8.100347000000e+02	-1.769785000000e+02
3	2	5	3	1.018693000000e+03	-2.351257000000e+02
4	1	11	1	8.263941000000e+02	-1.221887000000e+02
2	3	3	1	5.207574000000e+02	-2.709759000000e+01
2	2	3	1	5.905114000000e+02	-4.093182000000e+01
2	3	3	3	6.931460000000e+02	-5.901326000000e+01
2	1	3	1	8.109462000000e+02	-7.749123000000e+01
2	3	3	5	9.229525000000e+02	-9.377517000000e+01
2	2	3	3	1.015164000000e+03	-1.063012000000e+02
2	3	3	7	1.074930000000e+03	-1.141391000000e+02
4	1	13	1	7.849253000000e+02	-4.605789000000e+01
3	2	7	1	5.535796000000e+02	-6.981660000000e+00
3	1	7	1	7.606715000000e+02	-2.717903000000e+01
3	2	7	3	9.548218000000e+02	-4.454021000000e+01
3	2	3	1	2.872597000000e+02	-2.578579000000e+02
3	1	3	1	4.780931000000e+02	-3.917578000000e+02
3	2	3	3	6.456718000000e+02	-5.182056000000e+02
4	1	5	1	3.924763000000e+02	-4.284211000000e+02
2	3	1	1	1.105733000000e+02	-3.098448000000e+02
2	2	1	1	1.654948000000e+02	-3.377525000000e+02
2	3	1	3	2.419562000000e+02	-3.873195000000e+02
2	1	1	1	3.234386000000e+02	-4.550529000000e+02
2	3	1	5	3.967176000000e+02	-5.275433000000e+02
2	2	1	3	4.537168000000e+02	-5.885436000000e+02
2	3	1	7	4.896119000000e+02	-6.284575000000e+02
4	1	3	1	2.709062000000e+02	-4.776746000000e+02
3	2	1	1	1.032142000000e+02	-3.970023000000e+02
3	1	1	1	2.340446000000e+02	-5.052376000000e+02
3	2	1	3	3.393957000000e+02	-6.371416000000e+02
4	1	1	1	2.119024412172e+02	-5.229241724371e+02
4	1	15	1	7.493363237352e+02	-1.803015034014e+01
