sparsegrid_ver2	49	2	2	not_hierarchized	voigt
0	1	0	1
3	2	3	1	4.077614000000e+02	-2.677745000000e+02
3	1	3	1	5.474782000000e+02	-3.597233000000e+02
3	2	3	3	6.765499000000e+02	-4.448581000000e+02
4	1	7	1	6.132536000000e+02	-3.272393000000e+02
1	4	1	1	4.082880000000e+02	-1.480010000000e+02
1	3	1	1	4.478801000000e+02	-1.705680000000e+02
1	4	1	3	4.872204000000e+02	-1.925074000000e+02
1	2	1	1	5.261001000000e+02	-2.138136000000e+02
1	4	1	5	5.644523000000e+02	-2.345130000000e+02
1	3	1	3	6.022402000000e+02	-2.546221000000e+02
1	4	1	7	6.394509000000e+02	-2.741549000000e+02
1	1	1	1	6.759714000000e+02	-2.931325000000e+02
1	4	1	9	7.119442000000e+02	-3.115825000000e+02
1	3	1	5	7.473432000000e+02	-3.295342000000e+02
1	4	1	11	7.821928000000e+02	-3.470163000000e+02
1	2	1	3	8.165071000000e+02	-3.640551000000e+02
1	4	1	13	8.503146000000e+02	-3.806747000000e+02
1	3	1	7	8.836306000000e+02	-3.968973000000e+02
1	4	1	15	9.164703000000e+02	-4.127467000000e+02
4	1	9	1	7.322685000000e+02	-2.571152000000e+02
3	2	5	1	6.214299000000e+02	-1.583173000000e+02
3	1	5	1	7.777520000000e+02	-2.188971000000e+02
3	2	5	3	9.250735000000e+02	-2.714886000000e+02
4	1	11	1	8.074663000000e+02	-1.794365000000e+02
2	3	3	1	5.810464000000e+02	-7.653558000000e+01
2	2	3	1	6.635189000000e+02	-9.978647000000e+01
2	3	3	3	7.453920000000e+02	-1.206353000000e+02
2	1	3	1	8.231532000000e+02	-1.395957000000e+02
2	3	3	5	8.988461000000e+02	-1.570282000000e+02
2	2	3	3	9.726475000000e+02	-1.731964000000e+02
2	3	3	7	1.044466000000e+03	-1.882887000000e+02
4	1	13	1	8.195028000000e+02	-1.010448000000e+02
3	2	7	1	6.472061000000e+02	-4.383469000000e+01
3	1	7	1	8.008307000000e+02	-6.598420000000e+01
3	2	7	3	9.468263000000e+02	-8.486460000000e+01
4	1	5	1	4.820460000000e+02	-3.899831000000e+02
2	3	1	1	2.270478000000e+02	-2.796690000000e+02
2	2	1	1	2.945016000000e+02	-3.227764000000e+02
2	3	1	3	3.585677000000e+02	-3.694149000000e+02
2	1	1	1	4.192510000000e+02	-4.172043000000e+02
2	3	1	5	4.766925000000e+02	-4.645801000000e+02
2	2	1	3	5.311533000000e+02	-5.109443000000e+02
2	3	1	7	5.828984000000e+02	-5.561205000000e+02
4	1	3	1	3.601525000000e+02	-4.414160000000e+02
3	2	1	1	2.004246000000e+02	-3.764572000000e+02
3	1	1	1	3.048931000000e+02	-4.612810000000e+02
3	2	1	3	3.956772000000e+02	-5.555579000000e+02
4	1	1	1	2.533092000000e+02	-4.908081000000e+02
4	1	15	1	7.729919982639e+02	-3.655508728299e+01
